,0
1367,"Goosebump Akshay Kumar holding Ramsetu Stone
Jai Sri Ram"
1368,First Bollywood trailer in long time to get me thrilled and loved at the same moment
1369,"Keeping a side VFX, the movie looks promising "
1370,"Ram Setu word is enough for goosebumps 
Damn that last scene of akki sir and that stone and that dialogue 
Waiting to witness this epic in theatres with this level of BGM and chant of Jai Shree Ram"
1371,Thoda time aur le lete to thode dhang k vfx aa jate 
1372,हर हर महादेव   
1373,Jai Shree Ram
1374,Jai Shree Ram
1375,
1376,Nice
1377,"We have been seeing such type of movies in Hollywood for a long time , like National Treasure, Indiana Jones, Angels and Demon etc etc . I love the idea always but i am worried if the director and script writer has done enough study of the subject. If yes it will be a blockbuster. I just pray it is not another haphazard implementation like Akshay old movies without solid script and soul."
1378,"जय श्री राम
 ️"
1379,Canadian citizen Kumar and Lankan playing the lead slow clap 
1380,Nice
1381,bhai kuch bhi bolo movie hit ho gayi  gjb
1382,How would it be if any Khan has acted in it instead of Akshay?
1383,"One thing must be said, the trailer has given goosebumps. "
1384,"Pathaan vs adipurush 
Definitely Pathaan beat the adipurush "
1385,Jay shri ram
1386,Surely watch this
1387,
1388,"Original ramsetu pattar should be used , and carrying on his head could be brilliant"
1389,
1390,"Jai shree Ram
Ram Ram"
1391,super movie
1392,Now i hope that Bollywood do well after the success of RAMSETU bec. First time they are not insulting hinduism anymore 
1393,Muneeeer!
1394,️
1395,Jay Shree Ram.
1396,हमारा इतिहास प्रभु श्री राम से है और हमारे प्रभु श्री राम के मार्गो को चित्रण करने के लिए मैं अक्षय कुमार के दिल से आभार प्रकट करता हूं ️️️️
1397,జై శ్రీరామ్ 
1398,Jai shree Ram
1399,Can Finally we say .... Bollywood come back......with worlds best history....Shree Ram...the universal  ICON... hat's off Akshay Paa Ji
1400,Akshay's way to national award. Very good
1401,"Complete trailer...good vfx, story looks interesting....and I like the nod to the Pushpak rath in Ramayana at the end of the trailer in the form of the ship named Pushpak....Best of luck, hope it succeeds..."
1402,"this is so wholesome, goodvibesThis guy deserves recognition from all over the world"
1403,"this is so wholesome, This guy deserves recognition from all over the world"
1404,Ram Ram Ram...BGM goosebump 
1405,Original akki is back ️️
1406,This man is literally born to make History. Hatsoff to Akshay Kumar
1407,Finally One Historical Movie! Gonna support it very well!️
1408,Finally Akshay is back with good story.
1409,Let's all appreciate the content this man and his crew make its just masterpiece imagine what's he gonna doing the future  Love  You Friends
1410,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations. Jai Shree Ram️"
1411,Satyadev is such a cool actor.. loved his new movie too..
1412,"After so many Bollywood flop this could be the super hit and blockbuster movie️️ ever of Bollywood after boycotting Trend. 

Really we need this type of cinematic ideas which can influence our Indian culture without hurting any other's religion"
1413,This man is literally born to make History. Hatsoff to Akshay Kumar
1414,Really fingers crossed for this movie  hope this movie turned out good and inspire other film fraternity to make more such original content
1415,All time blockbuster. What a BGM Jai Shree Ram ️
1416,Hope this doesn't disappoint his fans as his last 2-3 movies did.
1417,"Hope Bollywood realises that films don't necessarily need love fantasies and romantic songs  .... It is the content without insulting the culture, that matters to audience.. hope this movie will meet it's expectations. Jai Shree Ram️"
1418,1:23 Ram Ram Ram  really gives goosebumps 
1419,Duniya mein SHREE RAM  ji ke lakhon mandir hai par SETU sirf EK .....️️ THIS ONE LINE is much much better than  the whole adipursh movie.
1420,That's the reason he is No1 actor In our proudest Country 🇮🇳🇮🇳🇮🇳🇮🇳
1421,Impressive...... I have many hopes by this movie ️️
1422,This man is literally born to make History. Hatsoff to Akshay Kumar
1423,"ANOTHER BLOCKBUSTER & I'M GLAD TO SEE THAT OUR CINEMA INDUSTRY WILL TURNING INTO NOW, ON RELIGIOUS TOPIC & CONTENT....जय श्री राम "
1424,Akshay Kumar+Diwali...Unbreakable bond becomes another ritual to watch akkis film in Diwali
1425,"Superb trailer the concept is unique as well as akki paji #canadian has done a good job.!
Good luck to the hole team "
1426,This is surest blockbuster! I am certainly going to theater!
1427,"This movie not only entertain us
But also tells us about our country rich culture"
1428,Epic Blockbuster Ever in Bollywood Film History 
1429,"this is so wholesome, goodvibesThis guy deserves recognition from all over the world"
1430,This movie will set a milestone in Khiladi Kumar career
1431,This is what public want from bollywood osm trailer akshay kumar keep it up
1432,Really this time i feel Akshay kumar has done good job ️
1433,Super Strongly waiting this movie #Akshay_Kumar
1434,We should support them and give a opportunity to team they're trying to do something different all the best the whole RamSetu team 
1435,Superbb akki sir JAI Shree RAM 
1436,Alhamdulillah iam very excited to see ram setu
1437,Now this looks really good️
1438,It would be so thrilling to see whole theatre chant jai shree ram....
1439,"Do you know the meaning of 'history'
It thus happen
This line got me goosebumps
Well done akshay"
1440,"This is Absolute Brilliant Trailer and gonna be block buster, Thanks Team for Hard work and Provide us such a great content."
1441,Loving it 
1442,The trailer gave goosebumps for real..no one can deny
1443,Finally a movie about archaeologists....
1444,"Hopefully this film will change the bollywood present status ,and bring backs to its original position "
1445,I told that Akshay kumar is there for Bollywood.... Akki️.. All must experience this movie in theater... Jay Shri ram
1446,Yes... Now bollywood has realized that the content is important.  The trailer rocks! Hope the film does equally well.
1447,That music Ram Ram Ram got hit for damnnn sure 
1448,Akki sahab ne iss baar toh aag laga di
1449,This is what I was expecting from Akshay. Trailer is amazing . Hope movie also will follow same path .
1450,Masterpiece 
1451,Superb. The last sceen where he walks on the Ramsetu with the stone is really classic. It should be blockbuster.
1452,Finally Bollywood  has been done a tremendous job.Jai shree ram 
1453,Akshay kumar!!!..He is unstoppable. Never fails to entertain us. A pure gem
1454,Can't wait to watch in  theatres 
1455,"Good to see you in this good movie Satya Dev Anna, All the very best Ramsetu.. ,"
1456,I am so excited about this movie.️️
1457,Goosebumps man ️
1458,Best teaser of 2022️️
1459,love you akki sir ️
1460,"This movie is creating history 
Jay Shri ram ️"
1461,Now this is something.... thank you Akshay Sir️
1462,"There are million temples of Shree ram
But... there is only one ram setu

Epic line 
i am so thrilled about this movie"
1463,"Honestly looks pretty good aside from some bad VFX in certain places.Akki sir ko suit kartha he yai character.
 I sincerely hope we get a compelling story and screenplay along with good performances. All the best "
1464,"The trailer was good, the rest of the film will be good. Hope that every story related to Lord Ram should be displayed properly in front of the whole world. Every one should know all about what we have then and now. 

Jai Shree Ram "
1465,Bgm next level
1466,"I like the trailer..
This is the first time I'm seeing there is no love story in bollywood film
Eagerly waiting"
1467,"Hope this works for akki ! 
Please don't disappoint us yaar , let us have hopes from this !"
1468,Cant wait to watch the entire masterpiece. Good Job!
1469,Goosebumps 
1470,Akshay Kumar is back. Jai shri Ram️
1471,"This Is Real Blockbuster Movie As A Diwali Gift From Bollywood, Can't wait for this masterpiece ️"
1472,"Hope this movie will be a decent comeback for akshay kumar and gives us the karthikeya 2 vibes.
jai sri ram"
1473,Last scene got me a real goosebumps
1474,This seems to be a blockbuster 
1475,Masterpiece ️
1476,"U got me at ""to protect India's history""️"
1477,"'one best thing about dude is that he never takes credit for himself when he achieves something He always respect us,The Audience and his Team And He is polite in all his videos. We Congratulate ourselves on this """
1478,Finnally akshay sir after long time i m exited for your move ️
1479,The vibe of the music __Ram Ram Ram Ram......I got goosebumps ️
1480,Fabulous trailer 
1481,Goosebumps.
1482,Akshay kumar will definetly meet our expectations through this movie .....after a long time
1483,"AFTER SO LONG I HAVE SEEN A GOOD TRAILER  
HAIL PRABHU SHRI RAM "
1484,Excellent I will definitely going to watch this on big screen 
1485,Goosebumps 
1486,"After they arrived in the Ramsetu.....there were silence but the moment Akshay put his feet on the setu there's a strange voice coming out...



""Gol mal hain bhai sab gol mal hain"""
1487,this will become a huge successful film
1488,I'm very proud to be HINDU
1489,"I really hope it meets the expectations, atleast once can we expect a good representation and embracement of our history and culture from Akshay Kumar"
1490,Subramanian Swamy ka bhi character hona chahiye tha. Unke bina Ram Setu ki raksha karna sambhav nahi tha. Dhanyawad Swami Ji
1491,I am waiting KGF3
1492,I love Akshay Kumar and his work and acting.
1493,This movie is going to hit ️
1494,It looks like genuine attempt to show our true history…I am watching it period.
1495,Trailer looks really Good 
1496,Nailed it ️
1497,"Finally Akshay kumar character looks accurate to his age, decent background score, premise looks nice and maybe a little more polishing on VFX before release."
1498,1:40- 1:50 Heart' Touching Lines ️
1499,Goosebumps
1500,RAM RAM RAM RAM these tune these words always gives Goosebumps JAI SHREE RAM
1501,Akshay kumar!!!..He is unstoppable. Never fails to entertain us. A pure gem
1502,This seems promising 
1503,Return of akki
1504,"This Ram Ram song will give goosebumps...
So energetic.."
1505,This is going to create a history.
1506,So Exited for this masterpiece जय श्री राम 
1507,The Trailer is far far far better than Adipurush...superb
1508,Good quality VFX and story seems interesting nice edited trailer
1509,"Trailer looks promising
After a long long time Bollywood is going to give a Good Movie I guess...."
1510,"Finally bollywood started following the trend, Karthikeya 2 success has influenced the makers to select such unique scripts."
1511,Please don't boycott this historical man ️
1512,After watching this my respect for Adams Bridge increased by 1000 times.
1513,"Ram setu
 it is not a film
It's our emotion ️
  Jai shree ram "
1514,Only Akshay sir can gives us this type of movies ️ Jai shree Ram 
1515,Akshay is on fire 
1516,ఈ సినిమా మంచి విజయాన్ని సాధించాలి from prabhas anna fans
1517,"Sure Blockbuster Because Great VFX , Jai Shree Ram "
1518,Wow!  What a BGM
1519,Definitely must watch movie!!!️️️️
1520,Excited for this epic one
1521,Very nice nd amazing.. all the best Akshay ji..
1522,Looks promising 
1523,This is real effort by Akshay Kumar
1524,waiting for climax  akshay boss️ love🇧🇩
1525,That background score is dope
1526,"After karthikeya movie blockbuster,people are enjoying the true beauty and natural aesthetic of indian history,now ramsetu will become a blockbuster which will pave a way for more hindu mythology movies in future,all the best Akshay Kumar garu"
1527,Amazing 
1528,"Akshay Kumar walking on water made me think 'Why should I watch this movie?'

Hope it's not a disaster for Bollywood once again."
1529,fabulous 
1530,I think this is where creative liberty can be taken and not adipurush...Looks good
1531,Looks good 
1532,This movie going to be a all time blockbuster  Akshay kumar unstoppable  he is a pure gem 
1533,This movie must be blockbuster due to which it is based on the great epic of Ramayana
1534,"Goosebumps  !!  
by BGM ...ram ram ram  "
1535,Even some part of Scenes has VFX and You know what ?? Its damn much better than Adipurush whole VFX thing .. 
1536,"Ram setu is our emotions 
Jai shri ram"
1537,Akshay kumar's look is perfect.. He looks like an experienced archeologist who is devoted to work.. Not like other films where scientists look like Fashion Icon 
1538,Ram Ram Song is going to be blockbuster for Hindu  festivals.
1539,️️️
1540,It's proven now ramshetu will be blockbuster than adipurush️
1541,Best Wishes from All Salman Khan Fans ️
1542,It's something which Indians is waiting for...we need more such movies who can show our hidden/forgettion glorious history...best wishes team
1543,After years bollywood is giving a good film to there fans . As a akki fan i am so exited about this movie
1544,Finally a Canadian is respecting our Indian culture and history 
1545,Ram Ram bgm gives me goosebumps 
1546,Spotted Salesforce’s product Mulesoft’s logo at 1:15. Stunned to see Nicholas Cage wearing wig and speaking Hindi.
1547,दुनिया में प्रभु श्री राम जी के लाखों मंदिर है पर सेतु केवल एक ️
1548,Wohooo....what a trailer Akki paji the best movie of 2022 is loading ...goosebumps guaranteed..jai shree ram 
1549,Here comes all rounder of Bollywood Akshay Kumar 
1550,"0:40
From it is fictional
To
IT THUS HAPPENED,
we have finally cover a long way "
1551,Akshay as always  
1552,God damn this is what u called a movie 
1553,perfect
1554,"Mind blowing, next level ️"
1555,Thank you Akki sir for making this film 
1556,Total thrill+ goosebumps in whole trailer
1557,Blockbuster movie akki sir 
1558,First day first show ️
1559,Last Dialogue Goosebumps 
1560,This movie feel fresh and goosebumps guaranteed at the end ️
1561,"OMG goosebumps all over
This movie is ATBB  material"
1562,This is gonna blockbuster No doubt
1563,"Movie will be a blockbuster!️
Super excited!!!!"
1564,Akshay is back with A Bang.. 
1565,"Always a legend 
No one can beat Akshay sir "
1566,Duniya mein Ram ji ke Lakho Mandir hai lekin ramsetu sirf ek 
1567,"I really liked this trailer️, I am very excited to see Ram Setu movie. "
1568,This is our History ️...RamSetu ...Jai Shree Ram ️
1569,Goosebumps 
1570,"Brilliant concept,amazing visuals..total blockbuster written all over it"
1571,"दुनिया में श्री राम के लाखो मंदिर है
पर सेतु सिर्फ एक ️️️
This will be the best Movie of Akshay Kumar and All time Blockbuster also."
1572,0:54 - 1:00 best scene in the whole trailer
1573,Love this trailer from Tamil Nadu..jai hind🇮🇳
1574,Jay shree ram
1575,"Akshay sir :- History means 
"" Its Thus Happen "" ️"
1576,Jay shiri ram  jo bolega uska sra dukh dur ho jayga Jay shiri ram
1577,"Akshay continuing the tradition of ""ek aadmi hain """
1578,"It happens in movie only joker...  It is the coral which stopped project, not the mythological character Ram or Mam build some bridge or whatever ..."
1579,"Goosebumps 
And that bgm
Ram ram ram ram️"
1580,"I don't see any disrespect towards our religion so let's make it blockbuster 
.
Jai shree Ram "
1581,Jai shree Ram
1582,Jay shree Ram
1583,Jai shree Ram
1584,Jai Sri Raam 
1585,️
1586,Finally akshay back with fresh and good story.... ️
1587,Jai shree Ram
1588,Jay Shri Ram
1589,Jai shree Ram
1590,Jai shree Ram
1591,Jai shree ram 
1592,Me to pause kark trailer bhi nahi dhekta movie to bahut door ki baat he.
1593,Ramsetu  blockbuster
1594,Joy Sree Ram
1595,"31 M views 
666 M like "
1596,Jai shri Ram
1597,"South wale isme hai . 
Per bollywood movie mai yeh 
Heroin ko nahin lena tha playgirl wali "
1598,Bollywood directors should try to make a movie about what happened to sita after she recovered from ravan and ram's life. They must use valmiki's dialogues as it is.
1599,
1600,50 bar dekh chuka hu
1601,Kab aayegi film koi batao
1602,Jai shree ram
1603,Waiting for the Movie in Big Screen 
1604,Jai हो
1605,Wow
1606,Jai shree ram
1607,
1608,jo chij aaj tak scientist bhi dhudh nhi paye vo apne hero akshay kumar ne dhud liya....
1609,Jai shree ram
1610,Jai shree ram
1611,Hit hai
1612,Jai shree ram
1613,25 october ko to gadar hi macha diya guru .. party p party
1614,Jai shree ram
1615,mast ha
1616,बढ़िया है
1617,Wow
1618,Jay shree ram
1619,Jai hind 🇨🇮 🇨🇮
1620,Mass ka baap of indian cinema megastar akshaykumar 
1621,This is the best tribute to Ayodhya Mandir...Ram Ram Ram Ram.... Jai Shree Ram....Hope movie will do justice
1622,Jai shree ram
1623,A movie phir cast feeling nahi layegi na bhai
1624,"Definately watch in theatre 
#ramsetu Much awaited "
1625,Jay shree ram
1626,BGM️
1627,
1628,Goosebumps 
1629,Jay shree ram
1630,Ram Setu zindabad 🇮🇳🇮🇳🇮🇳🇮🇳
1631,"Goosebumps when we hear Ram Ram Ram Ram, can't wait to watch. Blockbuster written all over it."
1632,Jay shree ram
1633,Jay shree ram
1634,goosebumps everywhere जय श्री राम
1635,"Story of this is looking quite interesting, isme khoj hogi ki reality me Raamsetu tha or uski history! 
Hope graphics bhi isi tarah axche ho! Movie dekhne me maja aayega.
7000 hajar saal purani history, 
Jay shri Ram "
1636,Jay shree ram
1637,Wow enthralling. Even Dwarika Nagri needs to be brought back on to the shore which is now subdued under the depts of the sea
1638,Radhe Radhe Radhe Radhe
1639,That walk in water I felt goosebumps
1640,Is diwali blockbuster cinemas
1641,1:13 pura chhapri music laga dala
1642,Jai Shree Ram ....Bas Ab Blockbuster Hona Tay Hai Akshay Kumar Sir
1643,jai shree ram
1644,Nice flim
1645,I want each and evry indian to go and watch this masterpiece and get some historical knowledge jai shree ram 
1646,This is amazing
1647,wow
1648,Jai shri ram
1649,Literally  goosebumps aa gye trailer dekh kr....jai shreee raamm...akshay sir dil jeet liye thanku so much for making such a film️
1650,jai shree ram
1651,
1652,"What a goosebumps ,,,,, Yaar Last waale Dialogue se hi yeh movie hit smjho "
1653,Nice video
1654,Jai shri ram
1655,Literally waiting more than deepavali festival ️
1656,Far....better than Adipurush 
1657,Bahut axa
1658,Jay shree Ram
1659,"Trailer looks fire :)

Finally something fresh and exciting on large scale from bollywood is here.

The scale is looking fantastic can't wait for the movie."
1660,Bas story orginal rehna mangta baaki trailer jhakas re
1661,
1662,this will be the game changer in bollywood  
1663,"Finally something good from Akshay? Lets wait and watch. Ironically the worst part of the trailer was the last bit, in typical Akshay tone, otherwise looked very good."
1664,Jay shree Ram
1665,Satya Dev in Bollywood.... 
1666,Diwali ki hardik shubhkamnaen Maine apni channel ko monetize kar liya sirf 25 din mein yah Diwali sabke liye khushiyan lae
1667,Trailer dekh k pata chal jaata hai flop hai ya super duper hit
1668,"Gave me goosebumps.hope politics doesn't destroy it..
Bollywood gave us an adventurous experience with our roots in it..
We can feel it
Jay shree ram"
1669,Jay sree ram
1670,Blockbaster
1671,"This is going to be a blockbuster movie,"
1672,"Every Hindu must watch this movie 
Jai shree Ram"
1673,Kanjus production ad Nahi dala
1674,"Just wow wow and wow 
Total Goosebumps ️️"
1675,"Pinned by T-Series
T-Series
2 weeks ago
Jai Shree Ram.... Jai Shree Ram... Jai Shree Ram... Raja Ram "
1676,
1677,First religious movie which is not making fun of sanatan dharm. Jai shri ram
1678,This is we want from bollywood . First time will watch bollywood movie first day ️
1679,Wow that's is damn! Love form 🇳🇵
1680,Pyramid  ∆  jaisa dikhta hai mr.akshay kumar
1681,Jacqueline Fernandez ko movie mein rakha hi kyun....uske bina b kaam chal jana tha 
1682,Only one word to say GOOSEBUMPS
1683,"some scenes are looking like tresure Island , Rocks movie and syrian war"
1684,Playing safe with biopics and remakes is not a one stop solution.
1685,Ye tv serial kyu ni bna leta ab
1686,RamSetu  All time blockbuster 
1687,Is film ko to ram ka nam hi hit kra dega jai shree ram
1688,1:02 Indian Darcy Lewis on the right 
1689,Sir aap ki ye movie flop nhi hogi 101 percent ️️
1690,I think this movie save Bollywood
1691,Movie is successful
1692,It's going to be a Blockbuster 
1693,Jai Jai Jai Sri ram
1694,Whosoever might have invested in this movie.......
1695,Mind blowing blockbuster Akshay sir  can't wait
1696,Looks good though just don't disappoint
1697,"good efforts,, ,,"
1698,Nice video
1699,This film is definitely a masterpiece ️#JaiShreeRam
1700,are you guys happy with this movie vfx ?
1701,"I thought cutputtli was comical, but I was wrong..."
1702,Next level goosebumps..STARTING 1:21
1703,Super hit movie
1704,"Our history, our pride! 
Bohot ne koshish ki mitaane ki, par sachai kitna chupaaoge? Jai Siya Ram"
1705,This Wiil Be The Blockbuster Of Diwali And Especially For Akshay Kumar ️‍
1706,"dear_ जो भी is वक्त मेरा कमेंट है पढ़ रहा
हम एक दसरे के लिए अंजन है लेकिन मैं
फिर भी भगवान से यह प्रार्थना करता हूं की
आपकी जिंदगी में कोई भी tension ना आय"
1707,I wish it won’t be namesake movie like Bhramastra. Trailer is awesome
1708,Everything that's coming out of zee studios nowadays is nothing but gold 
1709,Jay siya ram
1710,Love u bahi ji
1711,now this  is the movie we are expecting from bollywood as well akshay kumar.
1712,Akshy Kumar paka hindu jai mera bhai ️️
1713,Thisw is going to be blockbuster.. Not even better but best then adipurush.... Plz support ram setu movie..
1714,"26.6 M views 
550 K like 
Trending #2 "
1715,Watermelon ka kya kam iss movie me
1716,Bhai boycott kabse start karna hai?
1717,Hope they will make a serious movie without any romantic and item song 
1718,गर्व से कहो हम हिंदू है
1719,"Ram, Hanumanji, Ravan etc will be turning in their grave seeing such debacle like this."
1720,"Waiting for the movie ️️
""Duniya mein Sri Ram ka mandir Lakho hain lekin Ramsetu ek hain "" just loved it "
1721,Yar ye south wale nahi hote to akshay aur shahid kapoor kaha se filme karte samaj nai a raha
1722,har har Mahadev 
1723,Blockbuster On The Way ️
1724,"As Ram word is used i will watch this movie. Not for bollywood, only for shree ram️"
1725,"Ram ram sa 
Ramsetu movie of the year"
1726,"नफरत नहीं हम प्रेम के आदि है
हमें गर्व है हम हिन्दूत्व वादी है .
जय श्री राम"
1727,I think they wrote the spelling of Ram wrong in Bengali.  We write raja ram like this রাজা রাম and Ram Setu is রাম সেতু |
1728,Ram Setu zindabad 🇮🇳🇮🇳🇮🇳
1729,O Bhai  incredible!!!! Especially the score on Shri Ram Finally Bollywood coming on track  (Hope so)
1730,Ram Setu zindabad 🇮🇳🇮🇳🇮🇳
1731,"If this has politics included for spiciness, then this will have huge success in Tamilnadu which has Ramsethu..."
1732,Ram Setu zindabad 🇮🇳🇮🇳🇮🇳
1733,Last scene Goosebumps 
1734,Ram Setu zindabad 🇮🇳🇮🇳🇮🇳
1735,Ram Setu zindabad 🇮🇳🇮🇳🇮🇳
1736,"Akshay's powerful comeback  
Jai shree ram"
1737,"जो लोग राम को दिल से मानते है लाइक करे 
और कमेन्ट मे जय श्री राम बोले 
जय श्री राम ️️️️️"
1738,Jai हो प्रभू
1739,"दुनिया में श्री राम के लाखो मंदिर है 
पर रामसेतु सिर्फ एक ️️
what a dialogue "
1740,Really osm
1741,Bana diya public ko chutiya  ab log is kahani ko sach man lenge aur yahi ka example Dena start krdenge...
1742,अद्भुत!!.....जय श्री राम️️🇮🇳️
1743,After prithviraj Next bomb for Andh bakths...
1744,এতো দিনে একটা মনের মতো মুভি পেলাম
1745,"AK Before 2014- i doubt about ram existence
AFTER 2014- RAM is almighty"
1746,"Bgm
Story 
visual
Dialogue 
=Blockbuster"
1747,"Jai Shri Ram ️️...Also, GOI should tell Google to name our setu as RAM SETU and not Adams bridge..

.People who don't have any history of their own try to impose or destroy others ...It's time we take back all that is ours"
1748,Bhai 25 October ko mera birthday hai
1749,What's this saviour complex... Hamare pas 1 aadmi he! Lol
1750,"Jai Ho
Blockbuster Written all over it 
A well made epic adventure with touch of history in it 
Cinematography looks damn beautiful"
1751,Good to see Sanghis are in a fast track to take the population backwards!
1752,Jai Shree Ram 
1753,Ram ram jai shree ram    ramsetu blockbuster
1754,0:30 Akshay Paaji's ️ simple entry  with an active mind .
1755,भगवान श्री राम और माता सीता के असीम प्रेम की निशानी के तौर पर विश्व विख्यात रामसेतु मार्ग का निर्माण रामेश्वरम से लंका जाने के लिए किया गया था।
1756,"Epic block buster of the year lethal dialogue literally giving Goosebumps... cinematography top notch
....AK is Back To Rule Again... pichla diwali Sooryavanshi aur ISS Diwali Ram Setu ️️"
1757,Jai shree ram kon kon bolaiga  moje like karo
1758,"यह हमारे धर्म,संस्कृति और धरोवर की निशानी है जिसे हम राम सेतू के नाम से जानते हे इसे सभी भाषाओं मे राम सेतू के नाम से ही जाना चाहिए न की एडम्स ब्रिज से को की गलत है।"
1759,इसे कहते है मास्टरपीस । Now all said  Akki is back️ #Ramsetu #akshaykumar ️
1760,VFX looks on par with Adipurush 
1761,Nice movie treler
1762,Trailer was awesome...long after fantastic teaser come from Bollywood....this movie surely create new record and big hit .....best wishes Akshay.....from tamilnadu
1763,I think its more better than #Aadipurush
1764,"What a trailer man full goosebumps  
Combining mythology with modern technology and the movie going to next level .. hope Bollywood will make such type of movies in max in future"
1765,Uncharted vibe
1766,Satyadev is to be India's one of the finest actor.
1767,Ram setu nhi nalsetu kaha jata h aaise hi kuchh nhi bol diya jata h ye nhi chalega 
1768,Great people written...Ram maryada purushottam hain !!! 
1769,Movie kaisa hai achha hai to like kro ️
1770,The Goosebump Dialog -Duniya Me Shri Ram Ji ke Lakho Mandir Hai But Ramsetu Sirf Ek.. 
1771,"One of best thing about dude is that whenever he achives something , he never gives the credit to him self. He always respect us the audience the most and his team too he always polite in every of video . We congratulate ourselves for this achivement mor to come and everything comes. We always with you  rtzg  READ MORE"
1772,Seems an epic bomb from the start! Bad luck AK.
1773,Blockbuster movies hai yaar
1774,"No science,no tecnology,
RAMSETU was built by Shri Ram  with Love and Magic  Jai shree krishna ️ Jai shree ram "
1775,"Sach kahu toh ye movie agar jyada fictional Hui toh real history ko padhne me koi dilchasbi nahi dikhayega aur asli sach ko chod duniya is fiction pe hi bharosa karegi.
"
1776,Can't Wait For This Adventure Ride 
1777,We dont want anything extraordinary for ram bhagwan..we want only truth and right way to express our hindu culture with strong meaning..high expectation from akshay sir this time thank you!!
1778,My favourite actor Akshay Kumar is back with Ram Setu 
1779,Full support to #Akshay_Kumar & #Ram_setu 
1780,This was epic ️ gonna be very big  JAI JAI SHREE RAM ️
1781,"This is promising!
Hope Bollywood will live up again!"
1782,Ok now this is going to be a blockbuster 
1783,"karthikeya 2 ke baad , this movie blockbuster....
karthikeya 2= lord Krishna 
ramsetu= lord ram 
"
1784,Just wow you killed it akki ️ best of luck it's going for blockbuster movie
1785,eagerly waiting for this master piece to be released. going to be awesome.. Jai Shree Ram
1786,"Full goosebumps 
Jay shree ram "
1787,Watching it on loop .what a trailer . blockbuster is written all over it
1788,"VFx, Cinematography at next level 
Film gonna be blockbuster "
1789,"Mind-blowing 
Full of excitement and goosebumps "
1790,What a huge scale.. What an excellent Traile.. Having goosebumps. 
1791,"That's the reason why we love Akshay paji 
Goosebumps full trailer 
#Machadege"
1792,Akshay paaji full on fire 
1793,गर्व से कहो हम भारतीय हैं 
1794,1:30 Bhagavan Ram gave his hand to Akshay Kumar what a scene ️‍
1795,That ram ram jap gives me goosebumps
1796,Blockbuster movie 100%
1797,"Hamare Prabhu Shri Ram 8,87,000 sal purane hai naki 7,000 sal"
1798,awesome booking first show for whole family....
1799,Hmesa hindua k mjak bnta h aj khusi hue jay ram ji
1800,Wow finally Bollywood is making such a good content movie can't wait to see in theatre ️️
1801,"If we supported Karthikeyan 2 , now its time to support Ram Setu."
1802,क्या कोई मुझे राम का सरनेम बताएगा 
1803,"If Ramayana happened 7k years ago, why there was no mention of Rama in Vedas  which were written 3k years ago. Some basics are missed here to show the epic much older than it is."
1804,South jesa content Bollywood k pass h ky?
1805,1001 % better than Aadipurush teaser 
1806,Will watch when someone remakes it with better graphics.
1807,Bhai goosebumps agaye
1808,"Much love for our Hindi God not for a guy who himself call Indian but is a Canadian. When all makes south remakes , he did back to back  till it got totally flopped, when all did army spy movie he did back to back till it fail. Now audience is all after Hinduism , he is back. I swear , he will do around 10 movies with same subject till he make himself Ravaan"
1809,1:17 iron man  copy scene 
1810,I hope this time they respect lord RAM and our culture...
1811,I think content and our Akshay Kumar is back. Amazing 
1812,Noice
1813,Trending on no.1 Khiladi️
1814,dizstar movies
1815,"""The Stone of Ram setu is much much powerful than uranium (nuclear).
If the substance from that precious stone in involved in making nukes that would be Bhramastra""."
1816,"Hope this film actually has something to deliver and doesn't just tried to feed on the sympathy, faith, belief and love of people towards lord Ram and for Indian history..
May it just bring the halt on the boycott bollywood trend in India.."
1817,The trailer looks shabby.. it's still missing something. I think bollywood must revive the actors for characters. Just changing looks will no longer help. Raw talents and directors must take the driver seat.
1818,This is far better than Adipurush. This is going to be a blockbuster.
1819,"Shandaar Marvelous Tremendous work 
#Jai_Shree_Ram"
1820,Goosebumps 
1821,"Just watched Karthikeya 2 and it was mind blowing in the budget of 15 Crores I guess that was really good and this movie's budget is 150 Crores and starring Akshay Kumar and a historical concept so my hopes are high for this movie, very excited to watch this ️"
1822,Finally.. Something I will go for first day of the first show.. blockbuster
1823,After kartikeya 2 got an amazing movie to add in my watchlist... eagerly waiting for it
1824,Without any questions this is a blockbuster... First day first show for me for sure..
1825,Now that's some what we expect from you sir
1826,looks promising...hope it won't disappoint like other movies.
1827,"I truly appreciate this trailer VFX - good 
Creating hype about what will happen with akshay sir's one dialogue ""they send us here to die "" now let's see what will happen in movie"
1828,"Full pack of action and adventure, gonna be a blockbuster"
1829,"Totally Different ️
It gonna blast Indian box office collection "
1830,Best wishes for the teem and specialy akki sir love you  this movie is really outstanding ️
1831,Trailer looks really promisingi'm gonna be watch first day first show
1832,That's it We want it like that from Akshay Sir
1833,trailer seems to be so promising let's see how the movie would be ... akshay sir's look is damn fascinating
1834,Very Excited for Ram setu 
1835,Wish this film a success ️
1836,Goosebumps ️‍️‍
1837,Goosebumps 
1838,How can this trailer get 3 million views in just 3 hours ?
1839,"Bollywood breathing back again......
All the very best Akshay sir......
Next level concept.....RAAM SETU..."
